IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
2,51087,23,14,HR,Consultant,Analytics,H,HR,Doctorate,Chemistry,Surat,1988.0,Others,Surat,1990.0,Chemistry,Mangalore,1997.0,Bangalore,Nagpur,2702664,Y,Key_Performer,2,4,0,0,3783729
4,11501,15,8,Banking,Financial Analyst,Aviation,F,HR,Doctorate,Others,Bangalore,1997.0,Zoology,Bangalore,1999.0,Chemistry,Guwahati,2005.0,Kanpur,Kolkata,2100510,N,C,5,3,0,0,2608833
5,58941,10,5,Sales,Project Manager,Insurance,E,Medical Officer,Grad,Zoology,Mumbai,2004.0,Zoology,Mumbai,2006.0,Zoology,Bangalore,2010.0,Ahmedabad,Ahmedabad,1931644,N,C,2,3,0,0,2221390
6,30564,16,3,Top Management,Area Sales Manager,Retail,G,Director,Doctorate,Others,Bangalore,1998.0,Zoology,Bangalore,2000.0,Others,Bhubaneswar,2004.0,Pune,Bhubaneswar,3511167,Y,C,5,4,0,0,4522383
7,27267,1,1,Engineering,Team Lead,FMCG,L,Marketing Manager,Grad,Chemistry,Delhi,2011.0,Chemistry,Delhi,2013.0,Chemistry,Mangalore,2019.0,Delhi,Pune,492917,Y,B,3,3,0,0,630933
9,11616,8,7,Analytics/BI,Others,Telecom,L,Marketing Manager,Doctorate,Psychology,Mumbai,2003.0,Psychology,Mumbai,2005.0,Psychology,Pune,2012.0,Nagpur,Guwahati,1630225,N,A,6,6,0,0,2288835
10,43886,15,15,Analytics/BI,CEO,Telecom,M,Product Manager,Doctorate,Chemistry,Delhi,1998.0,Chemistry,Delhi,2000.0,Chemistry,Jaipur,2005.0,Bangalore,Bhubaneswar,1761797,Y,A,5,6,0,1,2466515
11,47373,13,10,Education,Business Analyst,Automobile,L,Consultant,Doctorate,Mathematics,Mangalore,2000.0,Mathematics,Mangalore,2002.0,Others,Guwahati,2007.0,Bangalore,Nagpur,2232801,Y,Key_Performer,3,3,0,0,3125921
12,36565,7,1,Marketing,Sales Manager,FMCG,E,CA,PG,Others,Mumbai,2004.0,Chemistry,Mumbai,2006.0,Others,Surat,2013.0,Jaipur,Mangalore,1351191,N,B,2,8,1,0,1756548
15,45111,12,9,Banking,Bio statistician,Telecom,J,Research Scientist,Grad,Zoology,Surat,2002.0,Others,Surat,2004.0,Others,Delhi,2008.0,Jaipur,Mumbai,1990865,N,C,6,3,0,0,2289494
